PointName,LatitudeBeg,LongitudeBeg,LatitudeEnd,LongitudeEnd,Address,Phone,Web Page,Duration,PriorityWithinLocation,Description,LocationCityID_FK,LocationCountryID_FK,IndoorOutdoor,Fee,Kids,Restroom,DisabledAccess,Complexity of hike,StrollerAccess,ChangingPad,Parking,PicnickArea,Tips,DateOfEntry
California Academy of Science,37.7701N,122.4664W,,,55 Music Concourse Dr. Golden Gate Park San Francisco CA 94118,415-379-8000,http://www.calacademy.org/,4,,The California Academy of Sciences is among the largest museums of natural history in the world.,1,1,1,1,1,1,1,1,1,1,1,0,,2014-08-14
Asian Art Museum of San Francisco,37.7802N,122.4163W,,,"200 Larkin St.San Francisco, CA 94102",415-581-3500,http://www.asianart.org/,3.5,,It has one of the most comprehensive collections of Asian art in the world.,1,1,1,1,1,1,1,1,1,1,1,0,,2014-08-14
Exploratorium,37.8014N,122.3976W,,,"Pier 15, 698 The Embarcadero, San Francisco, CA 94111",415- 528-4420,http://www.exploratorium.edu/,4,,"The Exploratorium is an eye-opening, playful placeﾗin San Francisco and onlineﾗto explore how the world works. ",1,1,1,1,1,1,1,1,1,1,1,0,,2014-08-14
The de Young,37.7715N,122.4687W,,,"Golden Gate Park 50 Hagiwara Tea Garden Drive San Francisco, CA 94118",415-750-3600,http://deyoung.famsf.org/,3,,"The de Young, a fine arts museum located in San Francisco's Golden Gate Park, is one of the Fine Arts Museums of San Francisco along with the Legion of Honor. The de Young is named for its founder, early San Francisco newspaperman M. H. de Young.",1,1,1,1,1,1,1,1,1,1,1,0,,2014-08-14
The Legion of Honor,37.7844N,122.5008W,,,"Lincoln Park 100 34th Avenue San Francisco, CA 94121",415-750-3600,http://legionofhonor.famsf.org/,1.5,,"The Legion of Honor displays a collection spanning more than 6,000 years of ancient and European art and houses the Achenbach Foundation for Graphic Arts in a neoclassical building overlooking Lincoln Park and the Golden Gate Bridge.",1,1,2,1,1,1,1,1,1,1,1,0,,2014-08-14
San Francisco Museum of Modern Art,37.7857N,122.401W,,,"151 Third Street, San Francisco, California 94103",,http://www.sfmoma.org/,4,,"The San Francisco Museum of Modern Art (SFMOMA) is a modern art museum located in San Francisco, California. A nonprofit organization, SFMOMA holds an internationally recognized collection of modern and contemporary art and was the first museum on the West Coast devoted solely to 20th century art. The museumﾒs current collection includes over 29,000 works of painting, sculpture, photography, architecture, design, and media arts.",1,1,1,1,1,1,1,1,1,1,1,0,Closed for expansion till 2016,2014-08-14
The San Francisco Zoo,37.7331N,122.5031W,,,"2945 Sloat Blvd, San Francisco, CA 94132",(415) 753-7080,http://www.sfzoo.org/index.htm,4,,"The San Francisco Zoo is a 100-acre (40 ha) zoo located in the southwestern corner of San Francisco, California, between Lake Merced and the Pacific Ocean along the Great Highway.",1,1,0,1,1,1,1,1,1,1,1,1,,2014-08-19
War Memorial Opera House,37.7786N,122.4208W,,,"301 Van Ness Ave, San Francisco, CA 94102",(415) 864-3330,http://sfopera.com/Home.aspx,4,,It has been the home of the San Francisco Opera since opening night in 1932.,1,1,1,1,1,1,1,1,1,1,0,0,,2014-08-19
San Francisco Symphony,37.778N,122.420W,,,"201 Van Ness Ave, San Francisco, CA 94102",(415) 864-6000,http://www.sfsymphony.org/index.aspx,4,,"The San Francisco Symphony (SFS), founded in 1911, is an orchestra based in San Francisco, California. Since 1980, the orchestra has performed at the Louise M. Davies Symphony Hall in the City's Hayes Valley neighborhood.",1,1,1,1,1,1,1,1,1,1,0,0,,2014-08-19
Golden Gate Bridge,37.8197N,122.4786W,,,"Golden Gate Bridge, San Francisco, CA 94129",,http://goldengate.org/,4,,,1,1,0,0,1,1,1,1,1,0,0,1,,2014-08-19
Sutro Baths,37.4648 N,122.3049 W,,,"Point Lobos Ave, San Francisco, CA 94121",(415) 426-5240,http://www.nps.gov/goga/planyourvisit/cliff-house-sutro-baths.htm,1.5,,"The Sutro Baths were a large, privately owned swimming pool complex near Seal Rock in San Francisco, California, built in the late 19th century. The facility was financially unprofitable and is now in ruins. Lands around the site have been integrated into the Golden Gate National Recreation Area.",1,1,0,0,1,0,0,0,0,0,0,0,,2014-08-19
Coit Tower,37.8025N,122.4058W,,,"1 Telegraph Hill Blvd, San Francisco, CA 94133",,,1.5,,"Storied 1930s-era building known for its WPA murals, 360-degree views & resident flock of parrots",1,1,2,1,1,1,1,1,1,0,1,0,,2014-08-19
